"","ID","Beta","HR","pvalue","GP1","GP2","Hr-Inv-lst","Concordance","Std_Error","ENSEMBL_clean","Gene_Symbol","Gene_Name"
"ENSG00000198938.2","ENSG00000198938.2",0.620566431280741,1.85998129510753,0.00845260862940083,"288","109","0.537639815319858",0.567503354203936,0.0302215738919433,"ENSG00000198938","MT-CO3","cytochrome c oxidase subunit III"
"ENSG00000142515.15","ENSG00000142515.15",-1.33879915624444,0.262160293186049,0.000363216126364131,"16","381","3.81446018329833",0.549949686940966,0.0211867016518127,"ENSG00000142515","KLK3","kallikrein related peptidase 3"
"ENSG00000198763.3","ENSG00000198763.3",0.688769038469771,1.99126285600481,0.0167841450081258,"349","48","0.502193870078188",0.54813282647585,0.0262678005477452,"ENSG00000198763","MT-ND2","NADH dehydrogenase subunit 2"
"ENSG00000229314.5","ENSG00000229314.5",-0.513218823637616,0.598565796928849,0.0249442698187581,"145","252","1.67066010976713",0.561801207513417,0.0314174792349651,"ENSG00000229314","ORM1","orosomucoid 1"
"ENSG00000034510.6","ENSG00000034510.6",0.677229829274481,1.96841732054903,0.0459983617107698,"84","313","0.508022353573419",0.555512075134168,0.0220860835344708,"ENSG00000034510","TMSB10","thymosin beta 10"
"ENSG00000012223.13","ENSG00000012223.13",-0.818648965817379,0.441027094865914,0.021408011011529,"28","369","2.26743438587153",0.53275939177102,0.020173852622923,"ENSG00000012223","LTF","lactotransferrin"
"ENSG00000231500.7","ENSG00000231500.7",0.571586475287808,1.7710745898694,0.0145832536175678,"281","116","0.564628957876779",0.554142441860465,0.030371063209289,"ENSG00000231500","RPS18","ribosomal protein S18"
"ENSG00000160862.13","ENSG00000160862.13",-0.837770060078288,0.432674286126985,0.0010869565505375,"64","333","2.31120737252805",0.587488819320215,0.0291461018881195,"ENSG00000160862","AZGP1","alpha-2-glycoprotein 1, zinc-binding"
"ENSG00000158715.6","ENSG00000158715.6",-0.76458723356098,0.465526044850309,0.00153184234353881,"199","198","2.14810752494321",0.590926878354204,0.0313583614740019,"ENSG00000158715","SLC45A3","solute carrier family 45 member 3"
"ENSG00000124233.12","ENSG00000124233.12",-0.756307770336387,0.469396350536598,0.00171973935437195,"83","314","2.13039577077417",0.577845483005367,0.0298055043287831,"ENSG00000124233","SEMG1","semenogelin 1"
"ENSG00000170345.10","ENSG00000170345.10",-0.78978792057569,0.45394105663243,0.0203120122899584,"29","368","2.20292918075866",0.532787343470483,0.0204638685863873,"ENSG00000170345","FOS","Fos proto-oncogene, AP-1 transcription factor subunit"
"ENSG00000177954.14","ENSG00000177954.14",1.86760070621568,6.47274773043631,6.4695180244086e-05,"391","6","0.154493893728899",0.531892889087657,0.014883350142437,"ENSG00000177954","RPS27","ribosomal protein S27"
"ENSG00000171858.18","ENSG00000171858.18",1.22901062107666,3.41784631781307,0.0370867656601253,"38","359","0.29258190890217",0.533569991055456,0.0153303602405293,"ENSG00000171858","RPS21","ribosomal protein S21"
"ENSG00000197958.13","ENSG00000197958.13",0.980220792328199,2.66504459837636,0.0224260880267394,"378","19","0.37522824218748",0.529768559928444,0.0185306544029266,"ENSG00000197958","RPL12","ribosomal protein L12"
"ENSG00000187608.10","ENSG00000187608.10",0.452969646641918,1.5729764406724,0.0476012808512069,"221","176","0.635737430099419",0.572394901610018,0.0314356476193335,"ENSG00000187608","ISG15","ISG15 ubiquitin like modifier"
"ENSG00000107018.8","ENSG00000107018.8",-1.075281608636,0.341201656437422,0.01213479293404,"16","381","2.93081812802806",0.521942084078712,0.0158565041075367,"ENSG00000107018","RLN1","relaxin 1"
"ENSG00000251562.8","ENSG00000251562.8",0.709246451779298,2.03245912549348,0.00443141154389838,"169","228","0.49201481469262",0.586314847942755,0.0288172551255415,"ENSG00000251562","MALAT1","metastasis associated lung adenocarcinoma transcript 1"
"ENSG00000072042.13","ENSG00000072042.13",-0.626240011346829,0.534598109620582,0.0229243273081547,"63","334","1.87056404054576",0.554366055456172,0.0268906967476835,"ENSG00000072042","RDH11","retinol dehydrogenase 11"
"ENSG00000125144.14","ENSG00000125144.14",-0.956551169348362,0.38421569846351,0.000299175983174388,"48","349","2.60270468905625",0.568677325581395,0.0263178076751243,"ENSG00000125144","MT1G","metallothionein 1G"
"ENSG00000211893.4","ENSG00000211893.4",0.581181301327996,1.78814952699507,0.0435764704627817,"122","275","0.55923734838913",0.558391100178891,0.0257294317148604,"ENSG00000211893","IGHG2","immunoglobulin heavy constant gamma 2 (G2m marker)"
"ENSG00000173991.6","ENSG00000173991.6",0.674689895749565,1.96342401542151,0.0271564519733444,"118","279","0.50931433666167",0.563729874776386,0.0255848806840437,"ENSG00000173991","TCAP","titin-cap"
"ENSG00000118181.11","ENSG00000118181.11",0.843363510903653,2.32417121983508,0.0481010928346222,"52","345","0.430260899655646",0.538014311270125,0.0185438266230876,"ENSG00000118181","RPS25","ribosomal protein S25"
"ENSG00000109472.14","ENSG00000109472.14",-0.928248242689948,0.395245478445944,0.00323000094990375,"36","361","2.53007321913429",0.559425313059034,0.0244293119320346,"ENSG00000109472","CPE","carboxypeptidase E"
"ENSG00000187244.12","ENSG00000187244.12",-1.77467984808814,0.169537718636577,0.000684980796795063,"8","389","5.8983924523817",0.527169051878354,0.0153854291705691,"ENSG00000187244","BCAM","basal cell adhesion molecule (Lutheran blood group)"
"ENSG00000125740.14","ENSG00000125740.14",-0.817021976254922,0.441745225383036,0.0127666019935041,"35","362","2.26374829322242",0.543995974955277,0.0231446395152954,"ENSG00000125740","FOSB","FosB proto-oncogene, AP-1 transcription factor subunit"
"ENSG00000166825.15","ENSG00000166825.15",-0.708221860108088,0.492519187317738,0.00754262791378291,"258","139","2.03037775126286",0.57661560822898,0.0273377178798671,"ENSG00000166825","ANPEP","alanyl aminopeptidase, membrane"
"ENSG00000177606.8","ENSG00000177606.8",-1.19822234193548,0.301730108411238,0.000276158031723887,"23","374","3.31422013290455",0.547014758497317,0.0211359255364825,"ENSG00000177606","JUN","Jun proto-oncogene, AP-1 transcription factor subunit"
"ENSG00000166598.15","ENSG00000166598.15",-1.17648040365288,0.308362141178543,0.0460798651166944,"354","43","3.24294025258112",0.536532871198569,0.0138763887669217,"ENSG00000166598","HSP90B1","heat shock protein 90 beta family member 1"
"ENSG00000163110.15","ENSG00000163110.15",-0.630642708923365,0.532249609480432,0.0104957835313484,"225","172","1.8788177242181",0.583659436493739,0.0294177898416132,"ENSG00000163110","PDLIM5","PDZ and LIM domain 5"
