"","ID","Beta","HR","pvalue","GP1","GP2","Hr-Inv-lst","Concordance","Std_Error","ENSEMBL_clean","Gene_Symbol","Gene_Name"
"ENSG00000142515.15","ENSG00000142515.15",-1.87159145032671,0.153878576735275,0.0258257869814494,"16","381","6.49863042157162",0.677564102564103,0.101579251112905,"ENSG00000142515","KLK3","kallikrein related peptidase 3"
"ENSG00000188257.12","ENSG00000188257.12",-1.44456000591421,0.23584982625825,0.0411544927179003,"72","325","4.23998616350484",0.588141025641026,0.100002837519191,"ENSG00000188257","PLA2G2A","phospholipase A2 group IIA"
"ENSG00000126709.15","ENSG00000126709.15",-1.6306832870156,0.195795743720434,0.0422401733026338,"162","235","5.10736332158398",0.701282051282051,0.0817055207079684,"ENSG00000126709","IFI6","interferon alpha inducible protein 6"
"ENSG00000210196.2","ENSG00000210196.2",1.78904457763175,5.98373274233441,0.029222305079345,"248","149","0.167119763375306",0.775961538461538,0.0403159074056021,"ENSG00000210196",NA,NA
"ENSG00000100285.10","ENSG00000100285.10",-4.05046994630515,0.017414188982465,0.000298769712958059,"2","395","57.4244371074036",0.616346153846154,0.0981766316948147,"ENSG00000100285","NEFH","neurofilament heavy chain"
"ENSG00000197958.13","ENSG00000197958.13",2.21819602233957,9.19073601955444,0.00729816827056273,"378","19","0.108805214062549",0.606410256410256,0.0972449720943437,"ENSG00000197958","RPL12","ribosomal protein L12"
"ENSG00000107018.8","ENSG00000107018.8",-2.53498604083026,0.0792628257002472,0.0028018090090075,"16","381","12.6162547343664",0.578205128205128,0.0720921807178741,"ENSG00000107018","RLN1","relaxin 1"
"ENSG00000169710.9","ENSG00000169710.9",2.2644121671749,9.62546477360634,0.0375838084678231,"393","4","0.103891087185947",0.512179487179487,0.0185379241114469,"ENSG00000169710","FASN","fatty acid synthase"
"ENSG00000049089.15","ENSG00000049089.15",-2.29218135989782,0.101045804009585,0.0352516005027161,"4","393","9.89650198542775",0.6125,0.0984450386764024,"ENSG00000049089","COL9A2","collagen type IX alpha 2 chain"
"ENSG00000187244.12","ENSG00000187244.12",-2.63750192010035,0.07153975855655,0.0183796382396867,"8","389","13.9782411931057",0.610576923076923,0.0980318472852035,"ENSG00000187244","BCAM","basal cell adhesion molecule (Lutheran blood group)"
"ENSG00000197956.10","ENSG00000197956.10",-3.94962011075385,0.0192620178190843,0.000458744932522178,"3","394","51.9156408945497",0.616025641025641,0.0979090680278549,"ENSG00000197956","S100A6","S100 calcium binding protein A6"
"ENSG00000131469.15","ENSG00000131469.15",2.30429032629697,10.0170668804,0.0355801626101344,"389","8","0.099829621978132",0.608974358974359,0.098425142513998,"ENSG00000131469","RPL27","ribosomal protein L27"
"ENSG00000196126.11","ENSG00000196126.11",-2.30123726216369,0.100134873956255,0.033197339032414,"6","391","9.98653077085671",0.61025641025641,0.0983783816651753,"ENSG00000196126","HLA-DRB1","major histocompatibility complex, class II, DR beta 1"
"ENSG00000102265.12","ENSG00000102265.12",-2.33005331265134,0.0972905601335581,0.00804538761018051,"6","391","10.2784894919633",0.612179487179487,0.0980395452676746,"ENSG00000102265","TIMP1","TIMP metallopeptidase inhibitor 1"
"ENSG00000122176.12","ENSG00000122176.12",-2.87999211144011,0.0561352056583189,0.00800156113116285,"3","394","17.8141326512056",0.614102564102564,0.0983886001557721,"ENSG00000122176","FMOD","fibromodulin"
"ENSG00000152583.12","ENSG00000152583.12",-4.05046994630515,0.017414188982465,0.000298769712958059,"2","395","57.4244371074036",0.616346153846154,0.0981766316948147,"ENSG00000152583","SPARCL1","SPARC like 1"
"ENSG00000189058.9","ENSG00000189058.9",-2.74891338234546,0.0639973641040106,0.0140552935662145,"5","392","15.6256435557997",0.611538461538462,0.0984701763491365,"ENSG00000189058","APOD","apolipoprotein D"
"ENSG00000197903.8","ENSG00000197903.8",2.32146384318367,10.1905808052723,0.0025156034376523,"358","39","0.0981298337267122",0.676923076923077,0.100711025128424,"ENSG00000197903","H2BC12","H2B clustered histone 12"
"ENSG00000205364.4","ENSG00000205364.4",-1.63829540199342,0.194310982263973,0.0453513351981773,"26","371","5.1463895058772",0.624038461538462,0.0991159305897316,"ENSG00000205364","MT1M","metallothionein 1M"
"ENSG00000159176.14","ENSG00000159176.14",-3.41500586246755,0.0328762139652109,0.00227057419788114,"3","394","30.417127746467",0.61474358974359,0.0982742054644451,"ENSG00000159176","CSRP1","cysteine and glycine rich protein 1"
"ENSG00000069535.14","ENSG00000069535.14",-4.05046994630515,0.017414188982465,0.000298769712958059,"2","395","57.4244371074036",0.616346153846154,0.0981766316948147,"ENSG00000069535","MAOB","monoamine oxidase B"
"ENSG00000084207.18","ENSG00000084207.18",-2.80054772650912,0.0607767644618727,0.00994978703334718,"5","392","16.4536564072497",0.613461538461539,0.0978536022631027,"ENSG00000084207","GSTP1","glutathione S-transferase pi 1"
"ENSG00000116574.6","ENSG00000116574.6",2.18826209728762,8.9196980693158,0.0437970690764764,"389","8","0.112111418147667",0.501282051282051,0.00727181136613928,"ENSG00000116574","RHOU","ras homolog family member U"
"ENSG00000187514.17","ENSG00000187514.17",2.53676003689366,12.6386557844125,0.00259818682729294,"383","14","0.0791223384082761",0.639423076923077,0.0986955768601794,"ENSG00000187514","PTMA","prothymosin alpha"
"ENSG00000184557.4","ENSG00000184557.4",-1.85279834664916,0.156797777284289,0.0120134643968962,"38","359","6.37764142655485",0.683974358974359,0.10108746829301,"ENSG00000184557","SOCS3","suppressor of cytokine signaling 3"
"ENSG00000158710.15","ENSG00000158710.15",2.40318418807198,11.0583321890372,0.0265084665333512,"390","7","0.090429549673988",0.568589743589744,0.0697769921430407,"ENSG00000158710","TAGLN2","transgelin 2"
"ENSG00000131981.16","ENSG00000131981.16",-2.25476827254063,0.104897848632079,0.00957912493129591,"6","391","9.53308397684511",0.611217948717949,0.0983074749825802,"ENSG00000131981","LGALS3","galectin 3"
"ENSG00000137198.10","ENSG00000137198.10",-3.02853834801286,0.0483863104111052,0.00680259411916368,"5","392","20.6670025365375",0.613141025641026,0.0983720539555394,"ENSG00000137198","GMPR","guanosine monophosphate reductase"
"ENSG00000169813.16","ENSG00000169813.16",1.69454149742447,5.4441492364318,0.0125702064773099,"325","72","0.18368342904858",0.619871794871795,0.0974665499899917,"ENSG00000169813","HNRNPF","heterogeneous nuclear ribonucleoprotein F"
